"ID","Name","Description","MainMedia","MediaItems","SKU","Ribbons","Currency","Price","DiscountedPrice","FormattedPrice","FormattedDiscountedPrice","TrackInventory","InStock","QuantityInStock","AdditionalInfoSections","ProductOptions","ProductPageUrl","ManageVariants","CustomTextFields","ProductType","Slug","Weight"
"146626d3-ab70-147e-a1a9-8b1829791cf9","Bling Bling - Bath Bomb","<p>Bling Bling Bath Bomb is mixed and molded to enhance your bathing experience. Settle in for a luscious bath with colors and scents that will give your senses the care they need.</p>","wix:image://v1/ebd955_a73330515c7840abbe2a987ec26f3ea5~mv2_d_2000_1833_s_2.jpg/file.jpg#originWidth=2000&originHeight=1833","[{""src"":""wix:image://v1/ebd955_a73330515c7840abbe2a987ec26f3ea5~mv2_d_2000_1833_s_2.jpg/file.jpg#originWidth=2000&originHeight=1833"",""description"":"""",""title"":"""",""type"":""Image""}]","15",[],"USD",4.99,4.99,"$4.99","$4.99",false,true,,[],{},"/product-page/bling-bling-bath-bomb",false,[],"physical","bling-bling-bath-bomb",0
"3012973a-2b96-b091-5846-48d284f3b9d2","Bling Bling - Body Mist","<p>Bling Bling Body Mist is a natural fragrance mix, bursting with crisp lemon and natural mica powder shimmer for a fresh, summer feel. Give it a go on body, hair, and lingerie and keep yourself feeling fresh and smelling great.</p>","wix:image://v1/eb980f_fe6a26a782314d97b62191df0a498247~mv2_d_2000_1833_s_2.jpg/file.jpg#originWidth=2000&originHeight=1833","[{""src"":""wix:image://v1/eb980f_fe6a26a782314d97b62191df0a498247~mv2_d_2000_1833_s_2.jpg/file.jpg#originWidth=2000&originHeight=1833"",""description"":"""",""title"":"""",""type"":""Image""}]","10",[],"USD",9.99,9.99,"$9.99","$9.99",false,true,,[],{},"/product-page/bling-bling-body-mist",false,[],"physical","bling-bling-body-mist",0
"8a2e1e17-3bef-a964-ec67-a97d24373f8c","Bling Bling - Lip Balm","<p>Bling Bling Lip Balm helps keep your lips nourished and moisturized for up to 24 hours. It’s made with 100% all natural flavors and is the perfect buddy to carry around.</p>","wix:image://v1/eb980f_496baaabb6b940879c9f1534254411bb~mv2_d_2000_1833_s_2.jpg/file.jpg#originWidth=2000&originHeight=1833","[{""src"":""wix:image://v1/eb980f_496baaabb6b940879c9f1534254411bb~mv2_d_2000_1833_s_2.jpg/file.jpg#originWidth=2000&originHeight=1833"",""description"":"""",""title"":"""",""type"":""Image""}]","5",[],"USD",8.99,8.99,"$8.99","$8.99",false,true,,[],{},"/product-page/bling-bling-lip-balm",false,[],"physical","bling-bling-lip-balm",0
"36915dd8-4220-723a-08f5-322e89ccd99c","Bling Bling - Sheet Mask","<p>24K Gold Sheet Mask is formulated and shaped to hug the contours of your face. The snug fit traps in goodies so they have nowhere to go but in your face.</p>","wix:image://v1/eb980f_ebdc47ade9a64a7087eb7811acda2ef2~mv2_d_2000_1833_s_2.png/file.jpg#originWidth=2000&originHeight=1833","[{""src"":""wix:image://v1/eb980f_ebdc47ade9a64a7087eb7811acda2ef2~mv2_d_2000_1833_s_2.png/file.jpg#originWidth=2000&originHeight=1833"",""description"":"""",""title"":"""",""type"":""Image""}]","16",[],"USD",3.99,3.99,"$3.99","$3.99",false,true,,[],{},"/product-page/bling-bling-sheet-mask",false,[],"physical","bling-bling-sheet-mask",0
"6d052cd1-c16a-7a06-e19d-9f2918b3a87b","Bold Cold - Bath Bomb","<p>Bold Cold Bath Bomb is mixed and molded to enhance your bathing experience. Settle in for a luscious bath with colors and scents that will give your senses the care they need.</p>","wix:image://v1/ebd955_20a36d7f0d0946edbd2c45eff60eee56~mv2_d_2000_1833_s_2.jpg/file.jpg#originWidth=2000&originHeight=1833","[{""src"":""wix:image://v1/ebd955_20a36d7f0d0946edbd2c45eff60eee56~mv2_d_2000_1833_s_2.jpg/file.jpg#originWidth=2000&originHeight=1833"",""description"":"""",""title"":"""",""type"":""Image""}]","13",[],"USD",4.99,4.99,"$4.99","$4.99",false,true,,[],{},"/product-page/bold-cold-bath-bomb",false,[],"physical","bold-cold-bath-bomb",0
"8859bd0e-b27e-9ebe-d93e-ab2b48608e6b","Bold Cold - Body Mist","<p>Bold Cold Body Mist is a natural fragrance mix, bursting with refreshing mint and calming cucumber scent. Give it a go on body, hair, and lingerie and keep yourself feeling fresh and smelling great.</p>","wix:image://v1/eb980f_8caac9cb6e494654850cd8e08fe2adae~mv2_d_2000_1833_s_2.jpg/file.jpg#originWidth=2000&originHeight=1833","[{""src"":""wix:image://v1/eb980f_8caac9cb6e494654850cd8e08fe2adae~mv2_d_2000_1833_s_2.jpg/file.jpg#originWidth=2000&originHeight=1833"",""description"":"""",""title"":"""",""type"":""Image""}]","9",[],"USD",9.99,9.99,"$9.99","$9.99",false,true,,[],{},"/product-page/bold-cold-body-mist",false,[],"physical","bold-cold-body-mist",0
"0783a43a-eb3e-b0ad-e0a1-780b5bd11df1","Bold Cold - Lip Balm","<p>Bold Cold Lip Balm helps keep your lips nourished and moisturized for up to 24 hours. It’s made with 100% all natural flavors and is the perfect buddy to carry around.</p>","wix:image://v1/eb980f_24f75bbc235f49e886c201652d27d5ce~mv2_d_2000_1833_s_2.jpg/file.jpg#originWidth=2000&originHeight=1833","[{""src"":""wix:image://v1/eb980f_24f75bbc235f49e886c201652d27d5ce~mv2_d_2000_1833_s_2.jpg/file.jpg#originWidth=2000&originHeight=1833"",""description"":"""",""title"":"""",""type"":""Image""}]","3",[],"USD",8.99,8.99,"$8.99","$8.99",false,true,,[],{},"/product-page/bold-cold-lip-balm",false,[],"physical","bold-cold-lip-balm",0
"da96159d-467f-4fa3-17b3-a558ccb0b9c0","Bold Cold - Sheet Mask","<p>Bold Cold Mint &amp; Cucumber Sheet Mask is formulated and shaped to hug the contours of your face. The snug fit traps in goodies so they have nowhere to go but in your face.</p>","wix:image://v1/eb980f_6fff0ff0d7e44f7ba081c8d609346046~mv2_d_2000_1833_s_2.jpg/file.jpg#originWidth=2000&originHeight=1833","[{""src"":""wix:image://v1/eb980f_6fff0ff0d7e44f7ba081c8d609346046~mv2_d_2000_1833_s_2.jpg/file.jpg#originWidth=2000&originHeight=1833"",""description"":"""",""title"":"""",""type"":""Image""}]","17",[],"USD",3.99,3.99,"$3.99","$3.99",false,true,,[],{},"/product-page/bold-cold-sheet-mask",false,[],"physical","bold-cold-sheet-mask",0
"cda3d903-fc7c-d36b-b983-46eb5410130e","Lav Love - Bath Bomb","<p>Lav Love Bath Bomb is mixed and molded to enhance your bathing experience. Settle in for a luscious bath with colors and scents that will give your senses the care they need.</p>","wix:image://v1/ebd955_1dd690883d974d37b8de0c7ff49939dd~mv2_d_2000_1833_s_2.jpg/file.jpg#originWidth=2000&originHeight=1833","[{""src"":""wix:image://v1/ebd955_1dd690883d974d37b8de0c7ff49939dd~mv2_d_2000_1833_s_2.jpg/file.jpg#originWidth=2000&originHeight=1833"",""description"":"""",""title"":"""",""type"":""Image""}]","11",[],"USD",4.99,4.99,"$4.99","$4.99",false,true,,[],{},"/product-page/lav-love-bath-bomb",false,[],"physical","lav-love-bath-bomb",0
"7bad8fc3-9d19-964e-ea04-fe038171abd0","Lav Love - Body Mist","<p>Lav Love Body Mist is a natural fragrance mix, bursting with sweet, soothing lavender extract. Give it a go on body, hair, and lingerie and keep yourself feeling fresh and smelling great.</p>","wix:image://v1/eb980f_f23b43ca98b445cfbb881d7b79921c1f~mv2_d_2000_1833_s_2.jpg/file.jpg#originWidth=2000&originHeight=1833","[{""src"":""wix:image://v1/eb980f_f23b43ca98b445cfbb881d7b79921c1f~mv2_d_2000_1833_s_2.jpg/file.jpg#originWidth=2000&originHeight=1833"",""description"":"""",""title"":"""",""type"":""Image""}]","7",[],"USD",9.99,9.99,"$9.99","$9.99",false,true,,[],{},"/product-page/lav-love-body-mist",false,[],"physical","lav-love-body-mist",0
"fdb43056-21b5-815d-3c1d-9aba87fb631f","Lav Love - Lip Balm","<p>Lav Love Lip Balm helps keep your lips nourished and moisturized for up to 24 hours. It’s made with 100% all natural flavors and is the perfect buddy to carry around.</p>","wix:image://v1/eb980f_499af418b2d8471cb827e1748831896f~mv2_d_2000_1833_s_2.jpg/file.jpg#originWidth=2000&originHeight=1833","[{""src"":""wix:image://v1/eb980f_499af418b2d8471cb827e1748831896f~mv2_d_2000_1833_s_2.jpg/file.jpg#originWidth=2000&originHeight=1833"",""description"":"""",""title"":"""",""type"":""Image""}]","2",[],"USD",8.99,8.99,"$8.99","$8.99",false,true,,[],{},"/product-page/lav-love-lip-balm",false,[],"physical","lav-love-lip-balm",0
"b5e805a1-0de0-4d94-3373-e2215d28cf2f","Lav Love - Sheet Mask","<p>Lav Love Lavender Essential Oil Sheet Mask is formulated and shaped to hug the contours of your face. The snug fit traps in goodies so they have nowhere to go but in your face.</p>","wix:image://v1/eb980f_6893139046c5425596e92ca42c0a1aec~mv2_d_2000_1833_s_2.png/file.jpg#originWidth=2000&originHeight=1833","[{""src"":""wix:image://v1/eb980f_6893139046c5425596e92ca42c0a1aec~mv2_d_2000_1833_s_2.png/file.jpg#originWidth=2000&originHeight=1833"",""description"":"""",""title"":"""",""type"":""Image""}]","19",[],"USD",3.99,3.99,"$3.99","$3.99",false,true,,[],{},"/product-page/lav-love-sheet-mask",false,[],"physical","lav-love-sheet-mask",0
"5b57d8ab-05d1-ead9-8443-0d61f8b66cdf","Petal Out - Bath Bomb","<p>Petal Out Bath Bomb is mixed and molded to enhance your bathing experience. Settle in for a luscious bath with colors and scents that will give your senses the care they need.</p>","wix:image://v1/ebd955_c4fcf1bd396a44f4891998e5eccfe6c0~mv2_d_2000_1833_s_2.jpg/file.jpg#originWidth=2000&originHeight=1833","[{""src"":""wix:image://v1/ebd955_c4fcf1bd396a44f4891998e5eccfe6c0~mv2_d_2000_1833_s_2.jpg/file.jpg#originWidth=2000&originHeight=1833"",""description"":"""",""title"":"""",""type"":""Image""}]","12",[],"USD",4.99,4.99,"$4.99","$4.99",false,true,,[],{},"/product-page/petal-out-bath-bomb",false,[],"physical","petal-out-bath-bomb",0
"4b3f0066-c88b-f0b9-2528-2312f6d7c0f8","Petal Out - Body Mist","<p>Petal Out Body Mist is a natural fragrance mix, bursting with feminine, aromatic rose. Give it a go on body, hair, and lingerie and keep yourself feeling fresh and smelling great.</p>","wix:image://v1/eb980f_e2fb3d8c1d874f82900fa388b0b2eb06~mv2_d_2000_1833_s_2.jpg/file.jpg#originWidth=2000&originHeight=1833","[{""src"":""wix:image://v1/eb980f_e2fb3d8c1d874f82900fa388b0b2eb06~mv2_d_2000_1833_s_2.jpg/file.jpg#originWidth=2000&originHeight=1833"",""description"":"""",""title"":"""",""type"":""Image""}]","8",[],"USD",9.99,9.99,"$9.99","$9.99",false,true,,[],{},"/product-page/petal-out-body-mist",false,[],"physical","petal-out-body-mist",0
"50bdbca4-848b-e278-abc1-7487f623f188","Petal Out - Lip Balm","<p>Petal Out Lip Balm helps keep your lips nourished and moisturized for up to 24 hours. It’s made with 100% all natural flavors and is the perfect buddy to carry around.</p>","wix:image://v1/eb980f_43123bff83f849e6864bdf14a2362308~mv2_d_2000_1833_s_2.jpg/file.jpg#originWidth=2000&originHeight=1833","[{""src"":""wix:image://v1/eb980f_43123bff83f849e6864bdf14a2362308~mv2_d_2000_1833_s_2.jpg/file.jpg#originWidth=2000&originHeight=1833"",""description"":"""",""title"":"""",""type"":""Image""}]","4",[],"USD",8.99,8.99,"$8.99","$8.99",false,true,,[],{},"/product-page/petal-out-lip-balm",false,[],"physical","petal-out-lip-balm",0
"9ed6cdea-ad2d-ac0b-fe2b-455a10e30b96","Petal Out - Sheet Mask","<p>Petal Out Rose Sheet Mask is formulated and shaped to hug the contours of your face. The snug fit traps in goodies so they have nowhere to go but in your face.</p>","wix:image://v1/eb980f_96331dfa71184f1fa5c7ba2f8e289b1a~mv2_d_2000_1833_s_2.jpg/file.jpg#originWidth=2000&originHeight=1833","[{""src"":""wix:image://v1/eb980f_96331dfa71184f1fa5c7ba2f8e289b1a~mv2_d_2000_1833_s_2.jpg/file.jpg#originWidth=2000&originHeight=1833"",""description"":"""",""title"":"""",""type"":""Image""}]","18",[],"USD",3.99,3.99,"$3.99","$3.99",false,true,,[],{},"/product-page/petal-out-sheet-mask",false,[],"physical","petal-out-sheet-mask",0
"07bf8ed8-82bb-26db-cb2f-9f038958005c","Pom Pom - Bath Bomb","<p>Pom Pom Bath Bomb is mixed and molded to enhance your bathing experience. Settle in for a luscious bath with colors and scents that will give your senses the care they need.</p>","wix:image://v1/ebd955_7a25813b5dd54489a25cb3f927071030~mv2_d_2000_1833_s_2.jpg/file.jpg#originWidth=2000&originHeight=1833","[{""src"":""wix:image://v1/ebd955_7a25813b5dd54489a25cb3f927071030~mv2_d_2000_1833_s_2.jpg/file.jpg#originWidth=2000&originHeight=1833"",""description"":"""",""title"":"""",""type"":""Image""}]","14",[],"USD",4.99,4.99,"$4.99","$4.99",false,true,,[],{},"/product-page/pom-pom-bath-bomb",false,[],"physical","pom-pom-bath-bomb",0
"43e551ad-860b-834e-ec3d-90724fe839eb","Pom Pom - Body Mist","<p>Pom Pom Body Mist is a natural fragrance mix, bursting with yummy pomegranate extract that’ll leave you energized. Give it a go on body, hair, and lingerie and keep yourself feeling fresh and smelling great.</p>","wix:image://v1/eb980f_6f04fdbff96846dd870f91f555c4dc3a~mv2_d_2000_1833_s_2.jpg/file.jpg#originWidth=2000&originHeight=1833","[{""src"":""wix:image://v1/eb980f_6f04fdbff96846dd870f91f555c4dc3a~mv2_d_2000_1833_s_2.jpg/file.jpg#originWidth=2000&originHeight=1833"",""description"":"""",""title"":"""",""type"":""Image""}]","6",[],"USD",9.99,9.99,"$9.99","$9.99",false,true,,[],{},"/product-page/pom-pom-body-mist",false,[],"physical","pom-pom-body-mist",0
"4cadc648-064c-18b4-8e68-9f04fef4fa73","Pom Pom - Lip Balm","<p>Pom Pom Lip Balm helps keep your lips nourished and moisturized for up to 24 hours. It’s made with 100% all natural flavors and is the perfect buddy to carry around in your bag.</p>","wix:image://v1/eb980f_9f4def03afd7496d9e53354a4b77b870~mv2_d_2000_1833_s_2.jpg/file.jpg#originWidth=2000&originHeight=1833","[{""src"":""wix:image://v1/eb980f_9f4def03afd7496d9e53354a4b77b870~mv2_d_2000_1833_s_2.jpg/file.jpg#originWidth=2000&originHeight=1833"",""description"":"""",""title"":"""",""type"":""Image""}]","1",[],"USD",8.99,8.99,"$8.99","$8.99",false,true,,[],{},"/product-page/pom-pom-lip-balm",false,[],"physical","pom-pom-lip-balm",0
"b7bff328-9100-925c-d923-ae4b8cefc594","Pom Pom - Sheet Mask","<p>Pom Pom Pomegranate Sheet Mask is formulated and shaped to hug the contours of your face. The snug fit traps in goodies so they have nowhere to go but in your face.</p>","wix:image://v1/eb980f_08cb9d57be364deba40271c332fce4b0~mv2_d_2000_1833_s_2.jpg/file.jpg#originWidth=2000&originHeight=1833","[{""src"":""wix:image://v1/eb980f_08cb9d57be364deba40271c332fce4b0~mv2_d_2000_1833_s_2.jpg/file.jpg#originWidth=2000&originHeight=1833"",""description"":"""",""title"":"""",""type"":""Image""}]","20",[],"USD",3.99,3.99,"$3.99","$3.99",false,true,,[],{},"/product-page/pom-pom-sheet-mask",false,[],"physical","pom-pom-sheet-mask",0
